scenario,seed,algorithm,date,n_steps,daily_energy_kwh,daily_comfort_deviation_c,daily_comfort_rate_pct,daily_episode_return,daily_peak_simulated_power_w
reward_alpha_0p5,44,PPO,2026-05-07,283,1.1380582175925928,0.1704772178909678,100.0,-73.39752633157194,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-08,288,1.0587837962962965,0.23141059921605242,98.95833333333334,-74.82312628711155,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-09,288,1.1058109953703705,0.19059457340704825,100.0,-72.7206185706149,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-10,288,1.061471064814815,0.22031576548790835,99.65277777777779,-73.07547023025876,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-11,283,1.1514945601851854,0.12488957372883622,100.0,-68.19687468263032,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-12,288,1.0896873842592596,0.1859944238137307,98.95833333333334,-71.15819702917719,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-13,288,1.1098418981481482,0.18207836279933312,100.0,-71.86928424310402,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-14,288,1.0843128472222225,0.1930718152121413,98.95833333333334,-71.67734139054834,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-15,283,1.1152164351851852,0.22916705174579866,99.29328621908127,-79.97713782203051,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-16,288,1.077594675925926,0.3037242418946634,97.91666666666666,-87.58629083283151,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-17,288,1.103123726851852,0.22084451932209734,99.30555555555556,-77.22661078238207,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-18,288,1.1071546296296297,0.17275837697105403,98.95833333333334,-70.87720628383184,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-19,288,1.1514945601851854,0.18444511756584464,98.95833333333334,-76.68509692948153,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-20,283,1.0977491898148148,0.2281700508246983,98.23321554770318,-78.81106219169476,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-21,288,1.0950619212962964,0.20696148819747093,99.65277777777779,-74.27745430043583,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-22,288,1.0923746527777778,0.2387434734051831,98.61111111111111,-79.20406017034635,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-23,288,1.119247337962963,0.2593400488751843,98.61111111111111,-84.66996703802648,64.49444444444445
reward_alpha_0p5,44,PPO,2026-05-24,17,0.08330532407407408,1.8226743683033138,64.70588235294117,-21.042732130578162,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-07,283,1.1394018518518518,0.17665564732019934,100.0,-74.39677409580815,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-08,288,1.0628146990740743,0.20083149610187018,98.95833333333334,-70.79473543866933,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-09,288,1.1179037037037038,0.15991550969492005,100.0,-69.42783339606845,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-10,288,1.10581099537037,0.1866815944361508,99.65277777777779,-72.35714959880565,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-11,283,1.1071546296296297,0.20485601407982457,100.0,-75.38712599229515,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-12,288,1.0628146990740743,0.2124024330421781,98.95833333333334,-72.46095035807359,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-13,288,1.108498263888889,0.16148539020997366,100.0,-68.77889619023614,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-14,288,1.0964055555555556,0.2135165542057094,98.95833333333334,-75.74638380562209,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-15,283,1.1367145833333334,0.19243464839432892,99.29328621908127,-76.77950274779748,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-16,288,1.1004364583333333,0.2513251162644233,97.91666666666666,-82.1658167420769,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-17,288,1.113872800925926,0.17403369823835185,99.30555555555556,-71.48585254632266,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-18,288,1.077594675925926,0.21839407656213553,98.95833333333334,-74.6987470249475,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-19,288,1.124621875,0.2023017904922274,98.95833333333334,-76.75645783088072,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-20,283,1.0816255787037037,0.23824386279395493,98.23321554770318,-78.73650658534464,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-21,288,1.0977491898148148,0.1630232658143601,99.65277777777779,-68.20035027726786,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-22,288,1.1098418981481482,0.21754048426666278,98.61111111111111,-77.77582973439937,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-23,288,1.1434327546296297,0.21872134804192955,98.61111111111111,-81.0708741180378,64.49444444444445
reward_alpha_0p5,44,DQN,2026-05-24,17,0.08196168981481482,1.791788489729556,64.70588235294117,-20.655202162701222,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-07,283,1.1259655092592593,0.21124527431460452,100.0,-78.04120631551652,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-08,288,1.0211620370370371,0.25263764876443023,98.95833333333334,-74.37982142207794,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-09,288,1.0856564814814815,0.20135938425748026,100.0,-72.39575133307711,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-10,288,1.0587837962962963,0.21998538071320317,99.65277777777779,-72.7778948227012,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-11,283,1.104467361111111,0.21589539135222008,100.0,-76.69919787633907,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-12,288,1.0345983796296299,0.25122490464999425,98.95833333333334,-75.42638626959916,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-13,288,1.0775946759259258,0.20125569760306744,100.0,-71.63082045484174,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-14,288,1.061471064814815,0.22876303481670993,98.95833333333334,-74.69187701360624,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-15,283,1.1017800925925927,0.2160082170376054,99.29328621908127,-76.8651627108212,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-16,288,1.056096527777778,0.308908113554782,97.91666666666666,-86.33276835188855,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-17,288,1.0749074074074074,0.20612855398663918,99.30555555555556,-72.48251177407604,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-18,288,1.0641583333333335,0.22052508845059637,98.95833333333334,-73.75561273688588,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-19,288,1.1017800925925927,0.24217185918625178,98.95833333333334,-80.37274772282025,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-20,283,1.050721990740741,0.28193427937162313,98.23321554770318,-82.04370053108462,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-21,288,1.061471064814815,0.20726235407990512,99.65277777777779,-71.19577898750634,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-22,288,1.066845601851852,0.25001741709130676,98.61111111111111,-78.45250806114812,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-23,288,1.0910310185185186,0.25706650799307074,98.61111111111111,-81.71757715100217,64.49444444444445
reward_alpha_0p5,45,PPO,2026-05-24,17,0.08061805555555557,1.823500875524861,64.70588235294117,-20.799757441961315,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-07,283,1.166274537037037,0.27798971234014824,100.0,-91.23554429613091,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-08,288,1.0950619212962962,0.30212454653082177,98.95833333333334,-88.3809347004383,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-09,288,1.1232782407407407,0.2724462361919109,100.0,-86.13225801163514,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-10,288,1.1340273148148148,0.29543623621805687,99.65277777777779,-90.6428180154002,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-11,283,1.1367145833333334,0.2650429745400979,100.0,-86.6535808974239,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-12,288,1.1058109953703705,0.23971009093770596,98.95833333333334,-80.39325309502964,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-13,288,1.1219346064814815,0.2510348597708332,100.0,-82.92401980699994,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-14,288,1.1420891203703705,0.2944638977411651,98.95833333333334,-91.65280127472766,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-15,283,1.1407454861111113,0.30718765429992195,99.29328621908127,-93.39205308343892,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-16,288,1.1152164351851852,0.36821541251045026,97.91666666666666,-100.37301940150476,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-17,288,1.1165600694444444,0.3043323516892176,99.30555555555556,-90.49885864324726,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-18,288,1.1232782407407407,0.29262045081447646,98.95833333333334,-89.63734491728454,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-19,288,1.155525462962963,0.2984254797867687,98.95833333333334,-93.4732690892946,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-20,283,1.1098418981481482,0.29099881407509803,98.23321554770318,-88.82633219162639,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-21,288,1.1111855324074074,0.27047241289513163,99.65277777777779,-84.92302745689899,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-22,288,1.1340273148148148,0.26468930544807395,98.61111111111111,-86.81525998452261,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-23,288,1.150150925925926,0.34138724842163204,98.61111111111111,-99.35976377271496,64.49444444444445
reward_alpha_0p5,45,DQN,2026-05-24,17,0.08464895833333334,1.7811252456607496,64.70588235294117,-20.81456458811637,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-07,283,1.1649309027777779,0.19003848113247385,100.0,-78.66544508024506,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-08,288,1.0896873842592596,0.23073504588167543,98.95833333333334,-77.60084660696123,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-09,288,1.1205909722222225,0.20109696713122796,100.0,-75.60796326689677,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-10,288,1.1152164351851852,0.20690937111536706,99.65277777777779,-76.14494944061279,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-11,283,1.1474636574074075,0.17085589473858945,100.0,-74.32610910551034,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-12,288,1.08834375,0.21986960239594677,98.95833333333334,-75.91122274501632,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-13,288,1.1219346064814817,0.18706791069671344,100.0,-73.71277914032672,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-14,288,1.1044673611111113,0.2209005089671947,98.95833333333334,-77.55967329127597,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-15,283,1.1407454861111113,0.2255141703403212,99.29328621908127,-81.8352551031554,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-16,288,1.1098418981481484,0.29160971585579915,97.91666666666666,-88.84179908323497,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-17,288,1.1058109953703705,0.221446625009652,99.30555555555556,-77.5633140013899,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-18,288,1.103123726851852,0.2177989617660511,98.95833333333334,-76.98805049431138,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-19,288,1.1447763888888889,0.2103547481362921,98.95833333333334,-79.79108373162602,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-20,283,1.101780092592593,0.2513057392677241,98.23321554770318,-82.45976210638291,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-21,288,1.108498263888889,0.19842987300741888,99.65277777777779,-74.29890171306835,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-22,288,1.1165600694444446,0.2405949295245428,98.61111111111111,-81.72066985153411,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-23,288,1.1367145833333336,0.2700993591345814,98.61111111111111,-87.84430771537974,64.49444444444445
reward_alpha_0p5,46,PPO,2026-05-24,17,0.08464895833333334,1.7811252456607496,64.70588235294117,-20.81456458811637,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-07,283,1.186429050925926,0.3852109689508657,100.0,-108.28235210654745,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-08,288,1.0614710648148147,0.33050000385933154,98.95833333333334,-89.34200055574378,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-09,288,1.1192473379629633,0.34608683089739656,100.0,-96.36150364922514,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-10,288,1.0964055555555559,0.315795712372181,99.65277777777779,-90.07458258159404,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-11,283,1.185085416666667,0.43429614580895154,100.0,-115.10290463196655,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-12,288,1.103123726851852,0.3602573143624295,98.95833333333334,-97.50205326818987,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-13,288,1.1461200231481483,0.36094409476384565,100.0,-101.00094964599373,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-14,288,1.119247337962963,0.3729229992780547,98.95833333333334,-100.82591189604,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-15,283,1.1488072916666667,0.3883349642316508,99.29328621908127,-105.62439743877863,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-16,288,1.092374652777778,0.39522432112809347,97.91666666666666,-102.1373022424454,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-17,288,1.119247337962963,0.3982807336275536,99.30555555555556,-104.2774256423677,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-18,288,1.1407454861111115,0.42932743729476536,98.95833333333334,-110.9481509704462,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-19,288,1.1689618055555557,0.41715938985220086,98.95833333333334,-111.82095213871683,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-20,283,1.1111855324074076,0.40641779144115286,98.23321554770318,-105.28311748892301,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-21,288,1.1219346064814815,0.3866576717232876,99.65277777777779,-102.6537047281534,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-22,288,1.108498263888889,0.3754904216572197,98.61111111111111,-100.39562071863956,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-23,288,1.1407454861111113,0.3950517708050428,98.61111111111111,-106.21245499592615,64.49444444444445
reward_alpha_0p5,46,DQN,2026-05-24,17,0.0859925925925926,1.9175894037783967,64.70588235294117,-22.09950993211637,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-07,283,1.1407454861111113,0.5116095614136199,100.0,-300.4355058800543,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-08,288,1.035942013888889,0.44565569744823347,98.95833333333334,-264.09884086509084,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-09,288,1.104467361111111,0.48876919443162425,100.0,-288.6655279963076,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-10,288,1.066845601851852,0.4911554385510042,99.65277777777779,-282.55276630268895,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-11,283,1.1246218750000003,0.4789362008076975,100.0,-288.18894482857826,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-12,288,1.0413165509259261,0.4754391727290448,98.95833333333334,-273.67648174596457,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-13,288,1.092374652777778,0.5029303706362841,100.0,-290.4939467432496,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-14,288,1.0547528935185186,0.5678478977233029,98.95833333333334,-302.79019454431096,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-15,283,1.124621875,0.5271490443463744,99.29328621908127,-302.23317955002386,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-16,288,1.066845601851852,0.5858447261554547,97.91666666666666,-310.823281132771,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-17,288,1.0883437500000002,0.528237508598051,99.30555555555556,-297.43240247623834,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-18,288,1.0480347222222222,0.5988290966076975,98.95833333333334,-310.46277982301683,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-19,288,1.1219346064814817,0.5367618503503809,98.95833333333334,-306.3374129009095,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-20,283,1.0587837962962963,0.6187076926728681,98.23321554770318,-316.4942770264212,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-21,288,1.0628146990740743,0.5428407455646123,99.65277777777779,-296.68813472260797,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-22,288,1.0668456018518517,0.5612103752627726,98.61111111111111,-303.32858807567806,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-23,288,1.1125291666666668,0.5402678903783232,98.61111111111111,-305.7971524289566,64.49444444444445
reward_beta_1p0,42,PPO,2026-05-24,17,0.08061805555555555,1.9388603095897021,64.70588235294117,-45.76062526302492,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-07,283,1.1595563657407408,0.23363309038520108,100.0,-225.26816457901177,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-08,288,1.0762510416666666,0.26040743221814333,98.95833333333334,-218.24734047882504,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-09,288,1.1125291666666668,0.22624302043835487,100.0,-214.5579898862461,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-10,288,1.099092824074074,0.17961780697115237,99.65277777777779,-198.8299284076917,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-11,283,1.1407454861111113,0.2799212870453799,100.0,-234.86772423384227,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-12,288,1.0789383101851855,0.26855788126719926,98.95833333333334,-221.09466980495324,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-13,288,1.1084982638888892,0.27524126219628,100.0,-227.91948351252836,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-14,288,1.097749189814815,0.2268991101808293,98.95833333333334,-212.59694373207884,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-15,283,1.1353709490740742,0.28374562457082314,99.29328621908127,-235.35001175354282,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-16,288,1.1058109953703705,0.32003347639607227,97.91666666666666,-241.51964120206839,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-17,288,1.1125291666666668,0.2915357703150638,99.30555555555556,-233.762301850738,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-18,288,1.0964055555555556,0.22998732673847058,98.95833333333334,-213.23635010067935,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-19,288,1.1326836805555558,0.33121895354105024,98.95833333333334,-249.14105861982236,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-20,283,1.0910310185185188,0.30021338279427584,98.23321554770318,-232.3603873307799,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-21,288,1.0977491898148148,0.284093475473697,99.65277777777779,-228.66892093642463,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-22,288,1.1058109953703705,0.23876699121226608,98.61111111111111,-217.71489346913236,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-23,288,1.1340273148148148,0.3503488119182239,98.61111111111111,-255.10045783244823,64.49444444444445
reward_beta_1p0,42,DQN,2026-05-24,17,0.08464895833333334,1.7811252456607496,64.70588235294117,-43.82912917623273,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-07,283,1.1299964120370372,0.22154899295642694,100.0,-216.34836500666856,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-08,288,1.0265365740740742,0.2671414964015693,98.95833333333334,-210.93675096365166,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-09,288,1.0789383101851855,0.23454348007810205,100.0,-210.6985222624933,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-10,288,1.039972916666667,0.2699837459617744,99.65277777777779,-213.85531883699076,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-11,283,1.1286527777777777,0.19289470909325393,100.0,-207.9892026733907,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-12,288,1.0574401620370373,0.24446014837341096,98.95833333333334,-210.15452273154207,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-13,288,1.0762510416666666,0.22328047326980144,100.0,-206.9547763017028,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-14,288,1.0655019675925927,0.2785098367999596,98.95833333333334,-221.4608329983882,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-15,283,1.0990928240740743,0.24763763649397302,99.29328621908127,-218.3814511277941,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-16,288,1.0493783564814816,0.32438422373169934,97.91666666666666,-232.27265643472913,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-17,288,1.066845601851852,0.26079393989707245,99.30555555555556,-216.4086546903568,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-18,288,1.0896873842592596,0.2306448583771834,98.95833333333334,-212.17571921262854,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-19,288,1.119247337962963,0.25684773365548735,98.95833333333334,-225.22214729278005,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-20,283,1.0708765046296296,0.2818982014864187,98.23321554770318,-223.42719102065615,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-21,288,1.061471064814815,0.23833716049935738,99.65277777777779,-208.74110222381466,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-22,288,1.066845601851852,0.2897011376073695,98.61111111111111,-225.13392763092202,64.49444444444445
reward_beta_1p0,43,PPO,2026-05-23,288,1.0896873842592596,0.3002478024028172,98.61111111111111,-232.4213670920112,64.49444444444445
